month,trips,wait_coverage_pct,duration_coverage_pct,distance_coverage_pct,base_fare_coverage_pct,driver_pay_coverage_pct,pickup_zone_coverage_pct,negative_request_to_pickup_trips,request_to_pickup_gt_60min_trips,invalid_dropoff_trips,trip_time_mismatch_gt_60sec_trips,negative_base_fare_trips,negative_driver_pay_trips,driver_pay_gt_base_fare_pct,review_note
2025-05-01,15038869,99.1143,100.0,99.9834,99.9981,99.9997,100.0,132672,521,5,640,286,50,16.2613,No material monthly anomaly
2025-06-01,14167361,99.0719,100.0,99.9843,99.997,99.9998,100.0,131001,491,0,640,432,33,16.8901,No material monthly anomaly
2025-07-01,14141782,99.1067,100.0,99.9865,99.997,99.9998,100.0,126015,308,1,724,421,28,18.2668,No material monthly anomaly
2025-08-01,13558357,99.0315,100.0,99.9857,99.9944,99.9998,100.0,130909,407,0,709,754,25,16.7334,No material monthly anomaly
2025-09-01,14047040,98.9481,100.0,99.9862,99.9927,99.9998,100.0,147442,313,0,719,1030,26,15.3215,No material monthly anomaly
2025-10-01,15470172,98.9922,100.0,99.9871,99.9889,99.9996,100.0,155646,255,1,739,1724,63,19.2622,No material monthly anomaly
2025-11-01,14908456,98.9609,99.9425,99.9878,99.9872,100.0,100.0,154498,416,8571,9352,1908,1,17.3893,Duration coverage anomaly
2025-12-01,15973728,98.7917,100.0,99.9869,99.9814,99.9999,100.0,190624,2394,2,693,2978,10,18.414,No material monthly anomaly
2026-01-01,15245631,98.8473,99.9952,99.9834,99.8037,99.9996,100.0,173792,1946,1,1333,29934,56,17.6263,Base-fare coverage anomaly
2026-02-01,14166961,98.6434,99.9991,99.9872,99.9709,100.0,100.0,191094,1097,0,631,4125,3,17.1331,No material monthly anomaly
2026-03-01,15956175,98.7506,99.9968,99.9852,99.9647,99.9999,100.0,196681,2677,1,7132,5640,9,17.8073,Trip-time mismatch anomaly
2026-04-01,15378858,98.8806,99.9998,99.9891,99.9647,100.0,100.0,171488,659,0,561,5426,7,17.4776,No material monthly anomaly
2026-05-01,15354816,98.7742,99.9997,99.987,99.9498,100.0,100.0,187455,762,0,519,7707,6,15.5788,No material monthly anomaly
