pickup_hour,trips_2025_05,trips_2026_05,avg_daily_trips_2025_05,avg_daily_trips_2026_05,trip_delta,trip_growth_pct,contribution_to_city_trip_growth_pct,avg_wait_2025_05,avg_wait_2026_05,avg_wait_change_pct,avg_fare_2025_05,avg_fare_2026_05,avg_driver_pay_2025_05,avg_driver_pay_2026_05
0,530724,554937,17120.1,17901.2,24213,4.562,7.664,5.49,6.104,11.191,27.01,26.93,20.97,20.97
1,369493,385751,11919.1,12443.6,16258,4.4,5.146,5.112,5.766,12.8,25.6,25.24,19.85,19.65
2,261310,277663,8429.4,8956.9,16353,6.258,5.176,5.196,5.95,14.517,25.0,24.55,19.38,19.28
3,205667,226992,6634.4,7322.3,21325,10.369,6.75,5.406,6.405,18.485,27.01,26.65,20.55,20.77
4,208990,234743,6741.6,7572.4,25753,12.323,8.151,6.258,7.281,16.346,34.2,32.62,24.48,24.18
5,261198,289067,8425.7,9324.7,27869,10.67,8.821,5.259,6.042,14.891,33.74,34.2,24.4,24.8
6,410328,433212,13236.4,13974.6,22884,5.577,7.243,4.898,5.653,15.408,29.97,30.37,22.7,23.05
7,612614,650231,19761.7,20975.2,37617,6.14,11.906,5.565,6.157,10.638,29.48,28.86,21.8,22.1
8,756506,772378,24403.4,24915.4,15872,2.098,5.024,5.197,5.578,7.339,28.5,28.01,21.07,21.31
9,722672,715972,23312.0,23095.9,-6700,-0.927,-2.121,4.469,4.841,8.311,27.11,27.3,20.45,20.84
10,663910,670702,21416.5,21635.5,6792,1.023,2.15,4.28,4.701,9.84,27.66,28.2,20.79,21.3
11,643832,666357,20768.8,21495.4,22525,3.499,7.129,4.355,4.748,9.019,28.91,29.62,21.57,22.32
12,665442,682250,21465.9,22008.1,16808,2.526,5.32,4.669,5.005,7.216,29.86,30.23,22.43,22.96
13,692665,710563,22344.0,22921.4,17898,2.584,5.665,4.988,5.297,6.182,30.65,31.28,23.25,23.71
14,748389,773086,24141.6,24938.3,24697,3.3,7.817,5.153,5.518,7.076,30.77,31.99,23.59,24.56
15,762319,783691,24590.9,25280.4,21372,2.804,6.764,5.096,5.47,7.327,31.33,32.6,24.14,25.05
16,792850,787092,25575.8,25390.1,-5758,-0.726,-1.822,4.935,5.255,6.478,30.74,32.05,23.98,24.54
17,864959,852130,27901.9,27488.1,-12829,-1.483,-4.06,5.153,5.314,3.135,30.13,30.55,23.36,23.41
18,887006,887161,28613.1,28618.1,155,0.017,0.049,4.93,5.123,3.927,28.63,28.33,22.02,21.71
19,848165,824073,27360.2,26583.0,-24092,-2.84,-7.625,4.566,5.025,10.07,26.7,27.68,20.63,20.85
20,807715,811118,26055.3,26165.1,3403,0.421,1.077,4.786,5.206,8.778,27.79,28.82,20.99,21.53
21,799154,828072,25779.2,26712.0,28918,3.619,9.153,5.075,5.587,10.091,29.03,30.3,21.56,22.45
22,798118,810598,25745.7,26148.3,12480,1.564,3.95,5.738,6.125,6.753,29.81,30.29,22.49,22.78
23,724843,726977,23382.0,23450.9,2134,0.294,0.675,5.903,6.392,8.293,28.45,28.35,22.16,21.99
