month,month_label,trips,trips_per_active_day,avg_request_to_pickup_minutes,p50_request_to_pickup_minutes,p90_request_to_pickup_minutes,p95_request_to_pickup_minutes,p99_request_to_pickup_minutes,wait_coverage_pct,avg_trip_miles,avg_trip_duration_minutes,weighted_speed_mph,avg_base_fare_eligible,avg_driver_pay_eligible,weighted_base_fare_per_mile,weighted_driver_pay_per_mile,driver_pay_per_occupied_hour,airport_fee_trip_share_pct,cbd_fee_trip_share_pct,shared_request_share_pct,shared_match_share_pct,trips_mom_pct,request_to_pickup_mom_pct,base_fare_mom_pct,driver_pay_mom_pct,trips_yoy_pct,request_to_pickup_yoy_pct
2025-05-01,2025-05,15038869,485124.81,5.045,4.235,8.932,11.298,17.007,99.1143,5.161,20.8,14.886,29.05,22.07,5.629,4.276,63.657,8.987,33.518,4.193,2.387,,,,,,
2025-06-01,2025-06,14167361,472245.37,5.096,4.289,9.025,11.445,17.161,99.0719,5.268,20.571,15.364,29.08,22.31,5.52,4.235,65.073,9.359,33.388,4.424,2.58,-5.795,1.011,0.103,1.087,,
2025-07-01,2025-07,14141782,456186.52,4.643,3.887,8.21,10.506,16.091,99.1067,5.208,19.938,15.672,27.2,21.13,5.223,4.058,63.6,9.068,33.228,4.281,2.604,-0.181,-8.889,-6.465,-5.289,,
2025-08-01,2025-08,13558357,437366.35,4.459,3.719,7.741,10.027,16.503,99.0315,5.279,19.871,15.939,27.22,21.14,5.157,4.005,63.84,9.387,33.03,4.1,2.507,-4.126,-3.963,0.074,0.047,,
2025-09-01,2025-09,14047040,468234.67,4.802,3.979,8.451,10.899,17.843,98.9481,5.229,21.126,14.849,29.35,22.46,5.613,4.296,63.786,9.044,36.56,3.5,1.993,3.604,7.692,7.825,6.244,,
2025-10-01,2025-10,15470172,499037.81,4.837,4.001,8.752,11.129,16.694,98.9922,5.118,20.833,14.739,27.81,21.88,5.435,4.275,63.011,8.785,35.496,3.089,1.862,10.131,0.729,-5.247,-2.582,,
2025-11-01,2025-11,14908456,496948.53,4.704,3.859,8.566,10.991,16.523,98.9609,5.031,20.141,14.983,27.56,21.44,5.479,4.262,63.869,8.292,34.106,2.911,1.741,-3.631,-2.75,-0.899,-2.011,,
2025-12-01,2025-12,15973728,515281.55,5.301,4.314,9.892,12.542,17.893,98.7917,4.94,20.155,14.706,28.62,21.92,5.793,4.437,65.257,8.296,32.069,2.56,1.46,7.145,12.691,3.846,2.239,,
2026-01-01,2026-01,15245631,491794.55,5.287,4.195,10.103,12.844,18.511,98.8473,4.699,18.853,14.952,26.19,20.11,5.571,4.281,64.007,7.484,31.088,2.706,1.558,-4.558,-0.264,-8.491,-8.257,,
2026-02-01,2026-02,14166961,505962.89,5.707,4.592,10.79,13.667,19.624,98.6434,4.826,19.724,14.681,27.52,21.13,5.701,4.377,64.265,7.632,32.012,2.711,1.536,-7.075,7.944,5.078,5.072,,
2026-03-01,2026-03,15956175,514715.32,5.599,4.5,10.79,13.438,18.46,98.7506,4.912,19.413,15.179,28.09,21.38,5.719,4.354,66.093,8.011,32.005,2.064,1.128,12.629,-1.892,2.071,1.183,,
2026-04-01,2026-04,15378858,512628.6,5.185,4.118,9.945,12.525,18.042,98.8806,4.95,19.755,15.032,27.66,21.29,5.588,4.302,64.663,8.378,33.784,2.714,1.661,-3.618,-7.394,-1.531,-0.421,,
2026-05-01,2026-05,15354816,495316.65,5.487,4.395,10.437,13.219,19.011,98.7742,5.008,20.6,14.585,29.49,22.43,5.889,4.479,65.322,8.535,33.719,2.532,1.439,-0.156,5.824,6.616,5.355,2.101,8.761
