month,month_label,metric,value_minutes,trips,wait_coverage_pct
2025-05-01,2025-05,Average,5.045,15038869,99.1143
2025-05-01,2025-05,Median,4.235,15038869,99.1143
2025-05-01,2025-05,P90,8.932,15038869,99.1143
2025-06-01,2025-06,Average,5.096,14167361,99.0719
2025-06-01,2025-06,Median,4.289,14167361,99.0719
2025-06-01,2025-06,P90,9.025,14167361,99.0719
2025-07-01,2025-07,Average,4.643,14141782,99.1067
2025-07-01,2025-07,Median,3.887,14141782,99.1067
2025-07-01,2025-07,P90,8.21,14141782,99.1067
2025-08-01,2025-08,Average,4.459,13558357,99.0315
2025-08-01,2025-08,Median,3.719,13558357,99.0315
2025-08-01,2025-08,P90,7.741,13558357,99.0315
2025-09-01,2025-09,Average,4.802,14047040,98.9481
2025-09-01,2025-09,Median,3.979,14047040,98.9481
2025-09-01,2025-09,P90,8.451,14047040,98.9481
2025-10-01,2025-10,Average,4.837,15470172,98.9922
2025-10-01,2025-10,Median,4.001,15470172,98.9922
2025-10-01,2025-10,P90,8.752,15470172,98.9922
2025-11-01,2025-11,Average,4.704,14908456,98.9609
2025-11-01,2025-11,Median,3.859,14908456,98.9609
2025-11-01,2025-11,P90,8.566,14908456,98.9609
2025-12-01,2025-12,Average,5.301,15973728,98.7917
2025-12-01,2025-12,Median,4.314,15973728,98.7917
2025-12-01,2025-12,P90,9.892,15973728,98.7917
2026-01-01,2026-01,Average,5.287,15245631,98.8473
2026-01-01,2026-01,Median,4.195,15245631,98.8473
2026-01-01,2026-01,P90,10.103,15245631,98.8473
2026-02-01,2026-02,Average,5.707,14166961,98.6434
2026-02-01,2026-02,Median,4.592,14166961,98.6434
2026-02-01,2026-02,P90,10.79,14166961,98.6434
2026-03-01,2026-03,Average,5.599,15956175,98.7506
2026-03-01,2026-03,Median,4.5,15956175,98.7506
2026-03-01,2026-03,P90,10.79,15956175,98.7506
2026-04-01,2026-04,Average,5.185,15378858,98.8806
2026-04-01,2026-04,Median,4.118,15378858,98.8806
2026-04-01,2026-04,P90,9.945,15378858,98.8806
2026-05-01,2026-05,Average,5.487,15354816,98.7742
2026-05-01,2026-05,Median,4.395,15354816,98.7742
2026-05-01,2026-05,P90,10.437,15354816,98.7742
