iso_weekday,weekday_name,day_type,pickup_hour,pickup_hour_label,pickup_location_id,borough,zone,zone_label,trips,contributing_days,avg_trips_per_contributing_day,wait_eligible_trips,avg_request_to_pickup_minutes,wait_gap_to_city_minutes,estimated_excess_request_to_pickup_minutes_per_day,avg_base_fare_eligible,avg_driver_pay_eligible,city_avg_wait_benchmark,p75_daily_trips_benchmark
1,Monday,weekday,21,21:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2987,4,746.75,2983,12.684,7.26,5414.2,60.08,42.46,5.424,213.5
1,Monday,weekday,23,23:00,132,Queens,JFK Airport,Queens — JFK Airport,2803,4,700.75,2794,12.866,7.442,5198.3,73.91,55.91,5.424,213.5
1,Monday,weekday,22,22:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2926,4,731.5,2922,12.357,6.933,5064.6,59.32,41.16,5.424,213.5
4,Thursday,weekday,0,00:00,132,Queens,JFK Airport,Queens — JFK Airport,2038,4,509.5,2000,15.422,9.998,4999.0,92.61,63.58,5.424,213.5
7,Sunday,weekend,23,23:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3345,5,669.0,3342,12.881,7.457,4984.3,63.93,43.95,5.424,213.5
4,Thursday,weekday,21,21:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3152,4,788.0,3149,11.633,6.209,4888.1,68.53,47.38,5.424,213.5
7,Sunday,weekend,21,21:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3388,5,677.6,3383,12.464,7.04,4763.3,72.19,48.8,5.424,213.5
3,Wednesday,weekday,23,23:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3037,4,759.25,3033,11.657,6.233,4726.2,69.46,47.99,5.424,213.5
3,Wednesday,weekday,23,23:00,132,Queens,JFK Airport,Queens — JFK Airport,2269,4,567.25,2263,13.567,8.143,4606.9,77.02,58.38,5.424,213.5
4,Thursday,weekday,23,23:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3033,4,758.25,3029,11.421,5.997,4541.3,71.25,49.25,5.424,213.5
3,Wednesday,weekday,22,22:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2767,4,691.75,2766,11.968,6.544,4525.2,81.84,53.87,5.424,213.5
4,Thursday,weekday,1,01:00,132,Queens,JFK Airport,Queens — JFK Airport,1502,4,375.5,1422,17.491,12.067,4289.8,98.73,65.11,5.424,213.5
4,Thursday,weekday,22,22:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2989,4,747.25,2986,11.129,5.705,4258.8,69.17,48.05,5.424,213.5
1,Monday,weekday,23,23:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2678,4,669.5,2673,11.611,6.187,4134.5,61.68,42.33,5.424,213.5
7,Sunday,weekend,22,22:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2846,5,569.2,2841,12.665,7.241,4114.4,74.05,48.24,5.424,213.5
4,Thursday,weekday,20,20:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,3102,4,775.5,3100,10.725,5.301,4108.3,70.65,48.16,5.424,213.5
5,Friday,weekday,0,00:00,132,Queens,JFK Airport,Queens — JFK Airport,2561,5,512.2,2551,13.302,7.878,4019.4,76.7,57.76,5.424,213.5
4,Thursday,weekday,23,23:00,132,Queens,JFK Airport,Queens — JFK Airport,2631,4,657.75,2626,11.364,5.94,3899.7,78.18,59.35,5.424,213.5
1,Monday,weekday,22,22:00,132,Queens,JFK Airport,Queens — JFK Airport,2558,4,639.5,2550,11.296,5.872,3743.4,71.39,53.86,5.424,213.5
7,Sunday,weekend,20,20:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2980,5,596.0,2978,11.701,6.277,3738.6,67.51,45.95,5.424,213.5
2,Tuesday,weekday,0,00:00,132,Queens,JFK Airport,Queens — JFK Airport,1885,4,471.25,1879,13.312,7.888,3705.4,67.45,52.18,5.424,213.5
1,Monday,weekday,20,20:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,2596,4,649.0,2596,10.856,5.432,3525.4,62.55,41.73,5.424,213.5
7,Sunday,weekend,23,23:00,132,Queens,JFK Airport,Queens — JFK Airport,3397,5,679.4,3385,10.583,5.159,3492.7,71.6,53.15,5.424,213.5
1,Monday,weekday,16,16:00,132,Queens,JFK Airport,Queens — JFK Airport,2664,4,666.0,2658,10.588,5.164,3431.5,97.57,70.5,5.424,213.5
1,Monday,weekday,0,00:00,138,Queens,LaGuardia Airport,Queens — LaGuardia Airport,1780,4,445.0,1780,13.133,7.709,3430.5,55.55,39.55,5.424,213.5
1,Monday,weekday,0,00:00,132,Queens,JFK Airport,Queens — JFK Airport,2035,4,508.75,2029,12.154,6.73,3413.8,67.33,50.5,5.424,213.5
7,Sunday,weekend,22,22:00,132,Queens,JFK Airport,Queens — JFK Airport,3657,5,731.4,3652,10.045,4.621,3375.2,76.79,56.35,5.424,213.5
