pickup_location_id,borough,zone,service_zone,zone_label,trips_2025_05,trips_2026_05,trip_delta,trip_growth_pct,trip_share_2026_pct,contribution_to_city_trip_growth_pct,wait_eligible_trips_2026_05,avg_wait_2025_05,avg_wait_2026_05,avg_wait_change_minutes,avg_wait_change_pct,wait_gap_to_city_minutes,estimated_excess_request_to_pickup_minutes,avg_miles_2025_05,avg_miles_2026_05,avg_fare_2025_05,avg_fare_2026_05,avg_driver_pay_2025_05,avg_driver_pay_2026_05,p75_zone_trips_benchmark,city_avg_wait_benchmark,marketplace_quadrant
138,Queens,LaGuardia Airport,Airports,Queens — LaGuardia Airport,311000,294905,-16095,-5.175,1.9206,-5.094,294624,7.093,7.697,0.604,8.517,2.21,651225.0,12.23,11.698,68.66,70.55,46.73,48.13,83208.0,5.487,Supply-constrained priority
132,Queens,JFK Airport,Airports,Queens — JFK Airport,269736,260433,-9303,-3.449,1.6961,-2.944,259675,6.852,7.887,1.035,15.106,2.4,623327.0,17.861,17.873,78.93,81.11,60.66,61.77,83208.0,5.487,Supply-constrained priority
42,Manhattan,Central Harlem North,Boro Zone,Manhattan — Central Harlem North,120415,124925,4510,3.745,0.8136,1.427,123155,5.553,6.649,1.096,19.739,1.162,143134.0,4.534,4.307,22.3,21.43,18.66,18.3,83208.0,5.487,Supply-constrained priority
35,Brooklyn,Brownsville,Boro Zone,Brooklyn — Brownsville,89947,96298,6351,7.061,0.6272,2.01,94780,5.841,6.714,0.873,14.94,1.227,116319.0,3.63,3.459,18.9,19.2,16.55,16.65,83208.0,5.487,Supply-constrained priority
61,Brooklyn,Crown Heights North,Boro Zone,Brooklyn — Crown Heights North,185549,194268,8719,4.699,1.2652,2.76,191461,5.377,6.071,0.694,12.901,0.584,111868.0,3.866,3.719,22.22,22.23,18.68,18.65,83208.0,5.487,Supply-constrained priority
39,Brooklyn,Canarsie,Boro Zone,Brooklyn — Canarsie,115161,118920,3759,3.264,0.7745,1.19,117436,5.536,6.284,0.748,13.506,0.797,93639.0,3.846,3.695,18.89,19.27,16.14,16.18,83208.0,5.487,Supply-constrained priority
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,Brooklyn — East Flatbush/Remsen Village,77149,81283,4134,5.358,0.5294,1.308,80170,5.937,6.635,0.698,11.756,1.148,92034.0,3.495,3.338,19.11,19.23,16.21,16.32,83208.0,5.487,Service-risk watchlist
225,Brooklyn,Stuyvesant Heights,Boro Zone,Brooklyn — Stuyvesant Heights,115360,119609,4249,3.683,0.779,1.345,117942,5.354,6.173,0.818,15.286,0.686,80919.0,3.982,3.872,23.47,23.69,19.46,19.68,83208.0,5.487,Supply-constrained priority
86,Queens,Far Rockaway,Boro Zone,Queens — Far Rockaway,35620,33438,-2182,-6.126,0.2178,-0.691,32470,7.624,7.861,0.237,3.104,2.374,77086.0,5.383,5.233,23.26,25.33,21.21,21.8,83208.0,5.487,Service-risk watchlist
117,Queens,Hammels/Arverne,Boro Zone,Queens — Hammels/Arverne,25088,26184,1096,4.369,0.1705,0.347,25311,7.972,8.519,0.546,6.854,3.032,76743.0,6.138,5.803,25.48,27.01,23.51,23.39,83208.0,5.487,Service-risk watchlist
74,Manhattan,East Harlem North,Boro Zone,Manhattan — East Harlem North,93734,96376,2642,2.819,0.6277,0.836,95079,5.505,6.283,0.777,14.118,0.796,75664.0,4.586,4.32,22.0,21.28,19.03,18.68,83208.0,5.487,Supply-constrained priority
235,Bronx,University Heights/Morris Heights,Boro Zone,Bronx — University Heights/Morris Heights,64066,66755,2689,4.197,0.4347,0.851,66017,5.547,6.565,1.018,18.349,1.078,71171.0,4.11,3.886,19.61,19.27,17.27,16.82,83208.0,5.487,Service-risk watchlist
37,Brooklyn,Bushwick South,Boro Zone,Brooklyn — Bushwick South,164703,172678,7975,4.842,1.1246,2.524,170827,5.085,5.893,0.808,15.9,0.406,69390.0,4.189,4.086,23.36,24.1,19.43,19.88,83208.0,5.487,Supply-constrained priority
168,Bronx,Mott Haven/Port Morris,Boro Zone,Bronx — Mott Haven/Port Morris,97753,100072,2319,2.372,0.6517,0.734,99003,5.315,6.168,0.853,16.041,0.681,67412.0,4.498,4.34,20.95,21.11,18.37,18.41,83208.0,5.487,Supply-constrained priority
205,Queens,Saint Albans,Boro Zone,Queens — Saint Albans,64801,62214,-2587,-3.992,0.4052,-0.819,61359,5.499,6.566,1.067,19.397,1.079,66221.0,4.604,4.397,20.12,21.2,17.58,17.73,83208.0,5.487,Service-risk watchlist
69,Bronx,East Concourse/Concourse Village,Boro Zone,Bronx — East Concourse/Concourse Village,79582,79121,-461,-0.579,0.5153,-0.146,78187,5.281,6.294,1.013,19.176,0.807,63079.0,3.957,3.772,20.25,20.02,17.58,17.36,83208.0,5.487,Service-risk watchlist
41,Manhattan,Central Harlem,Boro Zone,Manhattan — Central Harlem,86879,91774,4895,5.634,0.5977,1.549,90592,5.398,6.183,0.785,14.547,0.696,63062.0,4.507,4.299,24.39,23.19,19.52,19.27,83208.0,5.487,Supply-constrained priority
76,Brooklyn,East New York,Boro Zone,Brooklyn — East New York,163594,173063,9469,5.788,1.1271,2.997,171138,5.012,5.851,0.839,16.738,0.364,62360.0,3.927,3.707,18.6,19.14,16.33,16.34,83208.0,5.487,Supply-constrained priority
177,Brooklyn,Ocean Hill,Boro Zone,Brooklyn — Ocean Hill,61890,68785,6895,11.141,0.448,2.182,67880,5.596,6.394,0.798,14.257,0.907,61574.0,3.867,3.72,20.13,20.53,17.59,17.75,83208.0,5.487,Service-risk watchlist
247,Bronx,West Concourse,Boro Zone,Bronx — West Concourse,79876,80035,159,0.199,0.5212,0.05,79352,5.651,6.246,0.594,10.52,0.759,60227.0,4.535,4.269,23.34,22.91,19.47,18.8,83208.0,5.487,Service-risk watchlist
254,Bronx,Williamsbridge/Olinville,Boro Zone,Bronx — Williamsbridge/Olinville,80135,76806,-3329,-4.154,0.5002,-1.054,75815,5.581,6.281,0.7,12.535,0.794,60207.0,4.476,4.196,19.14,19.41,17.27,16.77,83208.0,5.487,Service-risk watchlist
259,Bronx,Woodlawn/Wakefield,Boro Zone,Bronx — Woodlawn/Wakefield,55419,54306,-1113,-2.008,0.3537,-0.352,53595,5.87,6.594,0.724,12.342,1.108,59362.0,4.712,4.474,19.82,20.33,17.6,17.16,83208.0,5.487,Service-risk watchlist
17,Brooklyn,Bedford,Boro Zone,Brooklyn — Bedford,119452,117789,-1663,-1.392,0.7671,-0.526,116342,5.421,5.965,0.544,10.028,0.478,55586.0,3.729,3.636,22.3,22.63,18.39,18.65,83208.0,5.487,Supply-constrained priority
36,Brooklyn,Bushwick North,Boro Zone,Brooklyn — Bushwick North,120210,124612,4402,3.662,0.8115,1.393,123736,5.027,5.917,0.891,17.721,0.431,53297.0,4.107,3.997,22.62,23.2,18.79,19.0,83208.0,5.487,Supply-constrained priority
116,Manhattan,Hamilton Heights,Boro Zone,Manhattan — Hamilton Heights,63148,66226,3078,4.874,0.4313,0.974,65318,5.261,6.291,1.03,19.582,0.804,52545.0,4.986,4.735,23.71,22.74,19.94,19.51,83208.0,5.487,Service-risk watchlist
203,Queens,Rosedale,Boro Zone,Queens — Rosedale,30961,29531,-1430,-4.619,0.1923,-0.453,29183,6.353,7.235,0.882,13.88,1.748,51018.0,4.859,4.625,19.85,20.94,17.61,17.43,83208.0,5.487,Service-risk watchlist
51,Bronx,Co-Op City,Boro Zone,Bronx — Co-Op City,65558,63181,-2377,-3.626,0.4115,-0.752,62406,5.573,6.276,0.703,12.611,0.789,49259.0,5.21,4.945,21.58,22.19,19.58,19.07,83208.0,5.487,Service-risk watchlist
213,Bronx,Soundview/Castle Hill,Boro Zone,Bronx — Soundview/Castle Hill,76161,73548,-2613,-3.431,0.479,-0.827,72687,5.323,6.113,0.79,14.846,0.626,45519.0,4.55,4.293,19.44,19.76,17.32,16.92,83208.0,5.487,Service-risk watchlist
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,Brooklyn — Prospect-Lefferts Gardens,112082,116837,4755,4.242,0.7609,1.505,115277,5.44,5.88,0.44,8.096,0.393,45352.0,3.908,3.762,21.67,22.11,18.54,18.67,83208.0,5.487,Supply-constrained priority
244,Manhattan,Washington Heights South,Boro Zone,Manhattan — Washington Heights South,111370,109971,-1399,-1.256,0.7162,-0.443,108613,5.091,5.883,0.792,15.559,0.396,43056.0,5.435,5.149,24.6,24.1,20.98,20.4,83208.0,5.487,Supply-constrained priority
169,Bronx,Mount Hope,Boro Zone,Bronx — Mount Hope,73383,75783,2400,3.271,0.4935,0.76,74870,5.127,6.053,0.926,18.068,0.567,42420.0,3.888,3.644,18.97,18.7,16.62,16.19,83208.0,5.487,Service-risk watchlist
92,Queens,Flushing,Boro Zone,Queens — Flushing,85128,89603,4475,5.257,0.5835,1.416,88297,5.251,5.955,0.704,13.399,0.468,41341.0,5.391,5.124,23.49,24.52,20.3,20.33,83208.0,5.487,Supply-constrained priority
126,Bronx,Hunts Point,Boro Zone,Bronx — Hunts Point,46553,47525,972,2.088,0.3095,0.308,47041,5.426,6.348,0.922,16.998,0.862,40529.0,4.271,4.252,19.63,21.51,17.51,18.28,83208.0,5.487,Service-risk watchlist
